zenith_deg,relative_azimuth_deg,intensity,q,u,dop,aop_deg
35.580601,134.977907,8.172185e+02,1.028299e+02,3.612068e+02,0.459557,37.054589
35.561546,145.028104,8.109804e+02,1.948002e+02,2.967868e+02,0.437750,28.360273
35.627306,155.009928,8.295099e+02,2.766511e+02,2.047907e+02,0.414946,18.255328
35.603078,164.961410,8.220267e+02,3.189993e+02,1.205391e+02,0.414845,10.349945
35.594916,174.947041,8.227895e+02,3.500467e+02,1.285875e+01,0.425726,1.051889
35.583298,185.021116,8.119216e+02,3.685444e+02,-1.219514e+02,0.478122,-9.154694
35.591727,194.993286,8.104000e+02,3.085125e+02,-2.626998e+02,0.500006,-20.207277
35.570193,204.889100,8.014641e+02,2.174378e+02,-3.574902e+02,0.522074,-29.345299
35.574650,215.013301,8.100000e+02,6.575304e+01,-4.299830e+02,0.537014,-40.652838
35.542703,225.049582,8.148267e+02,-1.338895e+02,-4.435175e+02,0.568570,-53.399034
35.573458,235.045094,8.442703e+02,-2.978430e+02,-3.739535e+02,0.566253,-64.268148
35.577939,245.018376,8.897718e+02,-4.284119e+02,-1.993523e+02,0.531061,-77.523046
35.554021,254.999627,9.403784e+02,-4.450092e+02,1.556046e+00,0.473226,89.899828
35.585860,265.027386,1.024895e+03,-4.051786e+02,1.534316e+02,0.422732,79.629747
35.617050,275.075860,1.120644e+03,-2.599830e+02,2.792337e+02,0.340453,66.477671
35.534928,284.955375,1.244811e+03,-1.451328e+02,3.344269e+02,0.292865,56.729810
35.572876,294.914943,1.367587e+03,-9.747765e+00,3.248389e+02,0.237634,45.859408
35.601892,305.039149,1.516299e+03,8.477928e+01,2.683011e+02,0.185568,36.232106
35.517483,314.998523,1.667007e+03,1.369083e+02,2.097759e+02,0.150269,28.434948
35.583107,325.013702,1.779040e+03,1.257611e+02,1.446908e+02,0.107758,24.501882
35.596746,335.019472,1.846980e+03,1.394896e+02,1.437754e+02,0.108459,22.933417
35.563271,345.013950,1.822940e+03,1.642389e+02,1.391896e+02,0.118098,20.140354
35.576727,355.000496,1.771413e+03,2.005112e+02,1.092418e+02,0.128902,14.291139
40.307642,5.004451,1.884744e+03,2.283368e+02,9.750547e+01,0.131734,11.561840
40.324163,14.954901,1.695377e+03,3.223591e+02,2.741944e+01,0.190827,2.430900
40.345349,24.907833,1.514069e+03,3.633773e+02,-9.884566e+01,0.248721,-7.608680
40.315097,34.986012,1.346279e+03,3.164812e+02,-2.584227e+02,0.303493,-19.616674
40.327375,44.984633,1.193163e+03,1.836054e+02,-4.198680e+02,0.384070,-33.190286
40.305912,55.009012,1.083098e+03,-1.199579e+01,-4.892884e+02,0.451885,-45.702214
40.352999,64.995002,9.885581e+02,-2.399770e+02,-4.372092e+02,0.504512,-59.380833
40.310762,75.040653,9.404598e+02,-4.015838e+02,-2.879548e+02,0.525438,-72.178834
40.318658,85.032755,8.894798e+02,-4.951948e+02,-8.194309e+01,0.564295,-85.302020
40.304815,95.021669,8.703256e+02,-4.645776e+02,1.482692e+02,0.560324,81.149800
40.279297,105.006629,8.501395e+02,-3.333285e+02,3.013024e+02,0.528528,68.944469
40.297013,115.173834,8.503810e+02,-1.813419e+02,3.819870e+02,0.497243,57.697625
